,source,target,weight
0,Cholic acid,Ursodexycholic acid,0.7777777777777778
1,Cholic acid,Obeticholic acid,0.5230769230769231
2,Cholic acid,Aramchol,0.6865671641791045
3,Tyloxapol,BPA,0.5416666666666666
4,Palmitoleic acid,Oleic acid,1.0
5,Palmitoleic acid,10-nitrooleic acid,0.5714285714285714
6,Oleic acid,10-nitrooleic acid,0.5714285714285714
7,Ursodexycholic acid,Obeticholic acid,0.6666666666666666
8,Ursodexycholic acid,Aramchol,0.5352112676056338
9,Exendin,Liraglutide,0.5759162303664922
10,Silybin,Silymarin,1.0
11,Pioglitazone,Dimethoxycoumarin,1.0
