,source,target,weight
0,Dihydrotestosterone,Cholic acid,0.2463768115942029
1,Dihydrotestosterone,Diosgenin,0.21333333333333335
2,Dihydrotestosterone,Ursodexycholic acid,0.26153846153846155
3,Dihydrotestosterone,Obeticholic acid,0.21428571428571427
4,Dihydrotestosterone,Aramchol,0.2222222222222222
5,Ochratoxin A,Epigallocatechin gallate,0.20253164556962025
6,Cholic acid,Ursodexycholic acid,0.7777777777777778
7,Cholic acid,Vitamin D3,0.2261904761904762
8,Cholic acid,Obeticholic acid,0.5230769230769231
9,Cholic acid,Aramchol,0.6865671641791045
10,Tunicamycin,Streptozotocin,0.20833333333333334
11,Tunicamycin,Geniposide,0.24528301886792453
12,Acetaminophen,Tyloxapol,0.28125
13,Acetaminophen,BPA,0.3333333333333333
14,Acetaminophen,Curcumin,0.21428571428571427
15,Acetaminophen,Melatonin,0.20408163265306123
16,Acetaminophen,Resveratrol,0.25806451612903225
17,Tyloxapol,BPA,0.5416666666666666
18,Tyloxapol,Resveratrol,0.25
19,BPA,Resveratrol,0.2962962962962963
20,Tamoxifen,Dextran Sulfate Sodium,0.20408163265306123
21,Tamoxifen,Rosiglitazone,0.296875
22,Palmitoleic acid,Oleic acid,1.0
23,Palmitoleic acid,10-nitrooleic acid,0.5714285714285714
24,Palmitoleic acid,LPS,0.28
25,Palmitoleic acid,MSG,0.2222222222222222
26,Palmitoleic acid,Sodium Butyrate,0.26666666666666666
27,Palmitoleic acid,Aramchol,0.2463768115942029
28,Palmitoleic acid,Lipoic acid,0.3157894736842105
29,Oleic acid,10-nitrooleic acid,0.5714285714285714
30,Oleic acid,LPS,0.28
31,Oleic acid,MSG,0.2222222222222222
32,Oleic acid,Sodium Butyrate,0.26666666666666666
33,Oleic acid,Aramchol,0.2463768115942029
34,Oleic acid,Lipoic acid,0.3157894736842105
35,10-nitrooleic acid,LPS,0.23728813559322035
36,10-nitrooleic acid,MSG,0.20454545454545456
37,10-nitrooleic acid,Sodium Butyrate,0.23684210526315788
38,10-nitrooleic acid,Aramchol,0.21794871794871795
39,10-nitrooleic acid,Lipoic acid,0.2553191489361702
40,LPS,Methionine,0.24
41,Dextran Sulfate Sodium,Curcumin,0.2222222222222222
42,Carbon tetrachloride,Clodronate,0.23076923076923078
43,TCDD,PCB 126,0.2916666666666667
44,TCDD,Aroclor 1260,0.22727272727272727
45,PCB 126,Aroclor 1260,0.3333333333333333
46,Streptozotocin,Sucrose,0.2641509433962264
47,Streptozotocin,Glucose,0.40540540540540543
48,Streptozotocin,Geniposide,0.2463768115942029
49,Methionine,MSG,0.3125
50,Methionine,Alanyl-glutamine,0.2894736842105263
51,MSG,Alanyl-glutamine,0.2564102564102564
52,MSG,Sodium Butyrate,0.2857142857142857
53,Orotic acid,Gallic acid,0.3103448275862069
54,Sucrose,Glucose,0.4
55,Sucrose,Fructose,0.2222222222222222
56,Sucrose,Gypenosides,0.21348314606741572
57,Sucrose,Geniposide,0.296875
58,Sucrose,Empagliflozin,0.22535211267605634
59,Glucose,Fructose,0.21212121212121213
60,Glucose,Geniposide,0.25925925925925924
61,Glucose,Empagliflozin,0.2413793103448276
62,Doxorubicin,Silybin,0.20192307692307693
63,Doxorubicin,Silymarin,0.20192307692307693
64,Ursodexycholic acid,Vitamin D3,0.25316455696202533
65,Ursodexycholic acid,Obeticholic acid,0.6666666666666666
66,Ursodexycholic acid,Aramchol,0.5352112676056338
67,Vitamin D3,Obeticholic acid,0.275
68,Gypenosides,Geniposide,0.22115384615384615
69,Exendin,Liraglutide,0.5759162303664922
70,Obeticholic acid,Aramchol,0.4
71,Geniposide,Empagliflozin,0.20454545454545456
72,Silybin,Curcumin,0.2878787878787879
73,Silybin,Silymarin,1.0
74,Silybin,Bavachinin,0.2875
75,Silybin,Epigallocatechin gallate,0.24675324675324675
76,Silybin,Quercetin,0.2054794520547945
77,Silybin,Naringenin,0.3333333333333333
78,Silybin,Dihydromyricetin,0.4915254237288136
79,Silybin,Chrysin,0.2112676056338028
80,Curcumin,Silymarin,0.2878787878787879
81,Curcumin,Bavachinin,0.23076923076923078
82,Curcumin,Pioglitazone,0.24444444444444444
83,Curcumin,Dimethoxycoumarin,0.24444444444444444
84,Curcumin,Melatonin,0.22807017543859648
85,Curcumin,Elafibranor,0.23333333333333334
86,Curcumin,Chlorogenic acid,0.3103448275862069
87,Curcumin,Resveratrol,0.28205128205128205
88,Silymarin,Bavachinin,0.2875
89,Silymarin,Epigallocatechin gallate,0.24675324675324675
90,Silymarin,Quercetin,0.2054794520547945
91,Silymarin,Naringenin,0.3333333333333333
92,Silymarin,Dihydromyricetin,0.4915254237288136
93,Silymarin,Chrysin,0.2112676056338028
94,Bavachinin,Pioglitazone,0.21311475409836064
95,Bavachinin,Dimethoxycoumarin,0.21311475409836064
96,Bavachinin,Epigallocatechin gallate,0.22972972972972974
97,Bavachinin,Naringenin,0.43103448275862066
98,Bavachinin,Dihydromyricetin,0.2028985507246377
99,Pioglitazone,Dimethoxycoumarin,1.0
100,Pioglitazone,Berberine,0.22413793103448276
101,Dimethoxycoumarin,Berberine,0.22413793103448276
102,Chlorogenic acid,Resveratrol,0.20754716981132076
103,Gallic acid,Epigallocatechin gallate,0.2826086956521739
104,Gallic acid,Dihydromyricetin,0.24390243902439024
105,Epigallocatechin gallate,Naringenin,0.3103448275862069
106,Epigallocatechin gallate,Dihydromyricetin,0.4339622641509434
107,Quercetin,Naringenin,0.25925925925925924
108,Quercetin,Dihydromyricetin,0.25925925925925924
109,Quercetin,Chrysin,0.43478260869565216
110,Naringenin,Dihydromyricetin,0.4166666666666667
111,Naringenin,Chrysin,0.2692307692307692
112,Naringenin,Resveratrol,0.23255813953488372
113,Dihydromyricetin,Chrysin,0.24528301886792453
