Name,AD_status
Dihydrotestosterone,within_AD
Dexamethasone,within_AD
Ochratoxin A,within_AD
Cholic acid,within_AD
Tunicamycin,within_AD
Acetaminophen,within_AD
BPA,outside_AD
Thioacetamide,within_AD
Tamoxifen,within_AD
Olanzapine,outside_AD
Palmitoleic acid,within_AD
Oleic acid,within_AD
10-nitrooleic acid,within_AD
LPS,within_AD
Diethylnitrosamine,outside_AD
Carbon tetrachloride,outside_AD
TCDD,within_AD
PCB 126,outside_AD
Aroclor 1260,within_AD
Tetracycline,within_AD
Streptozotocin,within_AD
Methionine,within_AD
MSG,outside_AD
Orotic acid,within_AD
PFOS,outside_AD
Sucrose,outside_AD
Glucose,within_AD
Fructose,within_AD
Microcystin-LR,within_AD
Doxorubicin,within_AD
T0901317,outside_AD
Diosgenin,within_AD
Pirfenidone,within_AD
Ursodexycholic acid,outside_AD
Alanyl-glutamine,outside_AD
TMAO,outside_AD
Vitamin D3,outside_AD
Fucoxanthin,within_AD
Gypenosides,outside_AD
Atorvastatin,outside_AD
Exenatide,within_AD
Obeticholic acid,within_AD
Sodium Butyrate,outside_AD
Liraglutide,within_AD
Aramchol,within_AD
Metformin,within_AD
Rosiglitazone,outside_AD
Caffeine,within_AD
Rapamycin,outside_AD
Geniposide,outside_AD
Silibinin,within_AD
Curcumin,within_AD
Silymarin,within_AD
Bavachinin,within_AD
Pioglitazone,within_AD
Scoparone,within_AD
Melatonin,within_AD
Berberine,within_AD
Sulforaphane,outside_AD
Elafibranor,within_AD
Gemigliptin,within_AD
Taurine,outside_AD
Chlorogenic acid,within_AD
Gallic acid,within_AD
Lipoic acid,outside_AD
Epigallocatechin gallate,within_AD
Allopurinol,within_AD
Quercetin,within_AD
Naringenin,within_AD
Dihydromyricetin,within_AD
Chrysin,within_AD
Clodronate,within_AD
Empagliflozin,outside_AD
Resveratrol,within_AD
Citicoline,outside_AD
