Name,AD_status
Dihydrotestosterone,within_AD
Dexamethasone,within_AD
Ochratoxin A,within_AD
Cholic acid,within_AD
Tunicamycin,within_AD
Acetaminophen,within_AD
BPA,within_AD
Thioacetamide,within_AD
Tamoxifen,within_AD
Olanzapine,within_AD
Palmitoleic acid,within_AD
Oleic acid,within_AD
10-nitrooleic acid,within_AD
LPS,within_AD
Diethylnitrosamine,within_AD
Carbon tetrachloride,within_AD
TCDD,within_AD
PCB 126,within_AD
Aroclor 1260,within_AD
Tetracycline,within_AD
Streptozotocin,within_AD
Methionine,within_AD
MSG,within_AD
Orotic acid,within_AD
PFOS,within_AD
Sucrose,within_AD
Glucose,within_AD
Fructose,within_AD
Microcystin-LR,within_AD
Doxorubicin,within_AD
T0901317,within_AD
Diosgenin,within_AD
Pirfenidone,within_AD
Ursodexycholic acid,within_AD
Alanyl-glutamine,within_AD
TMAO,within_AD
Vitamin D3,within_AD
Fucoxanthin,within_AD
Gypenosides,within_AD
Atorvastatin,within_AD
Exenatide,within_AD
Obeticholic acid,within_AD
Sodium Butyrate,within_AD
Liraglutide,within_AD
Aramchol,within_AD
Metformin,within_AD
Rosiglitazone,within_AD
Caffeine,within_AD
Rapamycin,within_AD
Geniposide,within_AD
Silibinin,within_AD
Curcumin,within_AD
Silymarin,within_AD
Bavachinin,within_AD
Pioglitazone,within_AD
Scoparone,within_AD
Melatonin,within_AD
Berberine,within_AD
Sulforaphane,within_AD
Elafibranor,within_AD
Gemigliptin,within_AD
Taurine,within_AD
Chlorogenic acid,within_AD
Gallic acid,within_AD
Lipoic acid,within_AD
Epigallocatechin gallate,within_AD
Allopurinol,within_AD
Quercetin,within_AD
Naringenin,within_AD
Dihydromyricetin,within_AD
Chrysin,within_AD
Clodronate,within_AD
Empagliflozin,within_AD
Resveratrol,within_AD
Citicoline,within_AD
